Name,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Key
7 Days to Die,2016,Action,0.03,0.07,0.0,0.02,0.12,7DaytoDie16Act
7 Roses: A Darkness Rises,2015,Misc,0.0,0.02,0.0,0.0,0.02,7RosADarRis15Mis
7 Wonders II,2009,Puzzle,0.14,0.15,0.0,0.03,0.32,7WonII09Puz
7 Wonders: Treasures of Seven,2011,Puzzle,0.02,0.03,0.0,0.01,0.05,7WonTreofSev11Puz
7 Wonders of the Ancient World,2007,Puzzle,0.07,0.0,0.0,0.01,0.08,7WonoftheAncWor07Puz
7 Wonders of the Ancient World,2007,Puzzle,0.1,0.01,0.0,0.01,0.13,7WonoftheAncWor07Puz
7th Dragon,2009,Role-Playing,0.0,0.0,0.14,0.0,0.14,7thDra09Rol
7th Dragon 2020,2011,Role-Playing,0.0,0.0,0.2,0.0,0.2,7thDra20211Rol
7th Dragon 2020-II,2013,Role-Playing,0.0,0.0,0.13,0.0,0.13,7thDra20213Rol
7th Dragon III Code: VFD,2015,Role-Playing,0.03,0.0,0.12,0.0,0.16,7thDraIIICodVFD15Rol
"999: Nine Hours, Nine Persons, Nine Doors",2009,Adventure,0.37,0.0,0.03,0.03,0.43,999NinHouNinPerNinDoo09Adv
99 no Namida,2008,Adventure,0.0,0.0,0.04,0.0,0.04,99noNam08Adv
A-Train 6,2000,Strategy,0.0,0.0,0.06,0.0,0.06,A-T600Str
A-Train,1995,Simulation,0.02,0.01,0.04,0.01,0.08,A-T95Sim
A-Train: City Simulator,2014,Simulation,0.0,0.0,0.06,0.0,0.06,A-TCitSim14Sim
A.C.E.: Another Century's Episode,2005,Simulation,0.0,0.0,0.26,0.0,0.26,A.CAnoCenEpi05Sim
A.C.E.: Another Century's Episode 2,2006,Simulation,0.0,0.0,0.18,0.0,0.18,A.CAnoCenEpi206Sim
A.C.E.: Another Century's Episode 3: The Final,2007,Simulation,0.0,0.0,0.26,0.0,0.26,A.CAnoCenEpi3:TheFin07Sim
A.C.E.: Another Century's Episode Portable,2011,Simulation,0.0,0.0,0.12,0.0,0.12,A.CAnoCenEpiPor11Sim
A.C.E.: Another Century's Episode R,2010,Simulation,0.0,0.0,0.26,0.0,0.26,A.CAnoCenEpiR10Sim
A. IV Evolution: A Ressha de Ikou 4,1994,Strategy,0.0,0.0,0.24,0.02,0.25,A.IVEvoAResdeIko494Str
ABBA: You Can Dance,2011,Misc,0.19,0.5,0.0,0.11,0.8,ABBYouCanDan11Mis
A Boy and His Blob,2009,Platform,0.19,0.02,0.0,0.02,0.22,ABoyandHisBlo09Pla
A Bug's Life,1998,Platform,1.96,0.72,0.0,0.11,2.79,ABugLif98Pla
A Bug's Life,1998,Platform,0.49,0.13,0.0,0.01,0.63,ABugLif98Pla
AC/DC LIVE: Rock Band Track Pack,2008,Misc,0.08,0.06,0.0,0.02,0.16,AC/LIVRocBanTraPac08Mis
AC/DC LIVE: Rock Band Track Pack,2008,Misc,0.21,0.0,0.0,0.02,0.23,AC/LIVRocBanTraPac08Mis
AC/DC LIVE: Rock Band Track Pack,2008,Misc,0.21,0.01,0.0,0.02,0.24,AC/LIVRocBanTraPac08Mis
AC/DC LIVE: Rock Band Track Pack,2008,Misc,0.25,0.0,0.0,0.02,0.28,AC/LIVRocBanTraPac08Mis
A Collection of Activision Classic Games for the Atari 2600,1998,Misc,0.76,0.52,0.0,0.09,1.37,AColofActClaGamfortheAta26098Mis
A Collection of Classic Games from the Intellivision,1999,Misc,0.17,0.12,0.0,0.02,0.31,AColofClaGamfrotheInt99Mis
A Game of Thrones: Genesis,2011,Strategy,0.0,0.03,0.0,0.01,0.04,AGamofThrGen11Str
A Good Librarian Like a Good Shepherd: Library Party,2015,Action,0.0,0.0,0.03,0.0,0.03,AGooLibLikaGooSheLibPar15Act
AIR,2007,Adventure,0.0,0.0,0.02,0.0,0.02,AIR07Adv
AKB48+Me,2012,Action,0.0,0.0,0.11,0.0,0.11,AKB12Act
AKB1/48: Idol to Guam de Koishitara...,0,Misc,0.0,0.0,0.01,0.0,0.01,AKBIdotoGuadeKoi0Mis
AKB1/48: Idol to Guam de Koishitara...,2011,Misc,0.0,0.0,0.4,0.0,0.4,AKBIdotoGuadeKoi11Mis
AKB1/48: Idol to Koishitara...,2010,Misc,0.0,0.0,0.41,0.0,0.41,AKBIdotoKoi10Mis
AKB1/149: Love Election,2012,Adventure,0.0,0.0,0.07,0.0,0.07,AKBLovEle12Adv
AKB1/149: Love Election,2012,Adventure,0.0,0.0,0.23,0.0,0.23,AKBLovEle12Adv
AKB1/149: Love Election,2013,Adventure,0.0,0.0,0.08,0.0,0.08,AKBLovEle13Adv
AMF Bowling 2004,2003,Sports,0.22,0.06,0.0,0.01,0.3,AMFBow20003Spo
AMF Bowling Pinbusters!,2007,Sports,0.85,0.0,0.0,0.07,0.91,AMFBowPin07Spo
AMF Bowling Pinbusters!,2008,Sports,0.06,0.0,0.0,0.0,0.07,AMFBowPin08Spo
AMF Bowling World Lanes,2008,Sports,0.33,0.0,0.0,0.03,0.36,AMFBowWorLan08Spo
AMF Xtreme Bowling,2006,Sports,0.01,0.01,0.0,0.0,0.02,AMFXtrBow06Spo
AMNESIA World,2014,Adventure,0.0,0.0,0.03,0.0,0.03,AMNWor14Adv
A New Beginning,2010,Adventure,0.0,0.05,0.0,0.01,0.06,ANewBeg10Adv
APB Reloaded,2011,Role-Playing,0.02,0.01,0.0,0.0,0.04,APBRel11Rol
A Ressha de Gyoukou 2001,2001,Simulation,0.0,0.0,0.03,0.0,0.03,AResdeGyo20001Sim
A Ressha de Ikou DS,2009,Simulation,0.0,0.0,0.04,0.0,0.04,AResdeIkoDS09Sim
ASH: Archaic Sealed Heat,2007,Role-Playing,0.0,0.0,0.12,0.0,0.12,ASHArcSeaHea07Rol
ATV Offroad Fury,2001,Racing,2.07,0.26,0.0,0.08,2.41,ATVOffFur01Rac
ATV Offroad Fury 2,2002,Racing,1.92,0.2,0.0,0.06,2.18,ATVOffFur202Rac
ATV Offroad Fury 3,2004,Racing,1.0,0.04,0.0,0.16,1.2,ATVOffFur304Rac
ATV Offroad Fury: Blazin' Trails,2005,Racing,0.53,0.0,0.0,0.04,0.57,ATVOffFurBlaTra05Rac
ATV Offroad Fury Pro,2006,Racing,0.37,0.04,0.0,0.05,0.46,ATVOffFurPro06Rac
ATV: Quad Frenzy,2005,Racing,0.1,0.0,0.0,0.01,0.11,ATVQuaFre05Rac
ATV Quad Kings,2009,Racing,0.21,0.0,0.0,0.01,0.22,ATVQuaKin09Rac
ATV Quad Kings,2010,Racing,0.1,0.0,0.0,0.01,0.11,ATVQuaKin10Rac
ATV: Quad Power Racing,2000,Racing,0.58,0.39,0.0,0.07,1.04,ATVQuaPowRac00Rac
ATV: Quad Power Racing,2002,Racing,0.18,0.07,0.0,0.0,0.26,ATVQuaPowRac02Rac
ATV Quad Power Racing 2,2003,Racing,0.36,0.07,0.0,0.01,0.45,ATVQuaPowRac203Rac
ATV Quad Power Racing 2,2003,Racing,0.41,0.32,0.0,0.11,0.84,ATVQuaPowRac203Rac
ATV Quad Power Racing 2,2003,Racing,0.22,0.06,0.0,0.01,0.28,ATVQuaPowRac203Rac
ATV/Monster Truck Mayhem,2007,Racing,0.33,0.0,0.0,0.02,0.36,ATVTruMay07Rac
A Vampyre Story,2008,Adventure,0.0,0.01,0.0,0.0,0.02,AVamSto08Adv
A Witch's Tale,2009,Role-Playing,0.08,0.0,0.03,0.01,0.11,AWitTal09Rol
Aa Megami-samaa,2007,Adventure,0.0,0.0,0.01,0.0,0.01,AaMeg07Adv
Abunai: Koi no Sousa Shitsu,2012,Action,0.0,0.0,0.01,0.0,0.01,AbuKoinoSouShi12Act
Abunai: Koi no Sousa Shitsu,2015,Action,0.0,0.0,0.02,0.0,0.02,AbuKoinoSouShi15Act
Academy of Champions: Soccer,2009,Sports,0.1,0.02,0.0,0.01,0.13,AcaofChaSoc09Spo
Accel World: Ginyoku no Kakusei,2012,Adventure,0.0,0.0,0.03,0.0,0.03,AccWorGinnoKak12Adv
Accel World: Ginyoku no Kakusei,2012,Adventure,0.0,0.0,0.03,0.0,0.03,AccWorGinnoKak12Adv
Accel World: Kasoku no Chouten,2013,Adventure,0.0,0.0,0.02,0.0,0.02,AccWorKasnoCho13Adv
Accel World: Kasoku no Chouten,2013,Adventure,0.0,0.0,0.01,0.0,0.01,AccWorKasnoCho13Adv
Ace Attorney 6,2016,Adventure,0.0,0.0,0.27,0.0,0.27,AceAtt616Adv
Ace Attorney Investigations 2,2011,Adventure,0.0,0.0,0.26,0.0,0.26,AceAttInv211Adv
Ace Attorney Investigations: Miles Edgeworth,2009,Adventure,0.27,0.15,0.3,0.04,0.76,AceAttInvMilEdg09Adv
Ace Combat 04: Shattered Skies,2001,Simulation,2.06,0.56,0.38,0.17,3.17,AceCom04:ShaSki01Sim
Ace Combat 2,1997,Simulation,0.16,0.11,0.56,0.06,0.89,AceCom297Sim
Ace Combat 3: Electrosphere,1999,Simulation,0.22,0.15,0.4,0.05,0.83,AceCom3:Ele99Sim
Ace Combat 5: The Unsung War,2004,Simulation,0.88,0.34,0.32,0.18,1.71,AceCom5:TheUnsWar04Sim
Ace Combat 6: Fires of Liberation,2007,Simulation,0.69,0.04,0.22,0.06,1.02,AceCom6:FirofLib07Sim
Ace Combat: Assault Horizon,2011,Action,0.3,0.16,0.22,0.07,0.74,AceComAssHor11Act
Ace Combat: Assault Horizon,2011,Action,0.3,0.12,0.03,0.04,0.49,AceComAssHor11Act
Ace Combat: Assault Horizon Legacy,2011,Simulation,0.1,0.06,0.08,0.01,0.24,AceComAssHorLeg11Sim
Ace Combat: Joint Assault,2010,Simulation,0.06,0.05,0.15,0.03,0.29,AceComJoiAss10Sim
Ace Combat X: Skies of Deception,2006,Simulation,0.37,0.31,0.12,0.19,0.99,AceComX:SkiofDec06Sim
Ace Combat Zero: The Belkan War,2006,Simulation,0.15,0.12,0.2,0.04,0.51,AceComZerTheBelWar06Sim
Achtung Panzer: Kharkov 1943,2010,Strategy,0.0,0.01,0.0,0.0,0.02,AchPanKha19410Str
Activision Anthology,2002,Misc,0.25,0.19,0.0,0.06,0.5,ActAnt02Mis
Activision Anthology,2003,Misc,0.03,0.01,0.0,0.0,0.05,ActAnt03Mis
Action Bass,2000,Action,0.64,0.43,0.0,0.07,1.14,ActBas00Act
Action Force,1982,Action,0.5,0.03,0.0,0.01,0.54,ActFor82Act
Active Health with Carol Vorderman,2009,Sports,0.0,0.18,0.0,0.01,0.19,ActHeawitCarVor09Spo
Activision Hits: Remixed,2006,Misc,0.05,0.0,0.0,0.0,0.06,ActHitRem06Mis
Active Life Explorer,2010,Sports,0.14,0.0,0.0,0.01,0.15,ActLifExp10Spo
Active Life: Extreme Challenge,2009,Sports,0.15,0.27,0.0,0.06,0.48,ActLifExtCha09Spo
Active Life: Magical Carnival,2011,Misc,0.04,0.01,0.0,0.0,0.05,ActLifMagCar11Mis
Active Life: Outdoor Challenge,2008,Sports,0.79,0.44,0.19,0.14,1.55,ActLifOutCha08Spo
Action Man-Operation Extreme,0,Action,0.05,0.03,0.0,0.01,0.09,ActManExt0Act
Actua Tennis,1997,Sports,0.07,0.05,0.0,0.01,0.13,ActTen97Spo
Act of Aggression,2015,Strategy,0.0,0.01,0.0,0.0,0.01,ActofAgg15Str
Adidas Power Soccer,1996,Sports,0.02,0.01,0.0,0.0,0.04,AdiPowSoc96Spo
Adidas Power Soccer 98,1998,Sports,0.01,0.01,0.0,0.0,0.02,AdiPowSoc9898Spo
Adrenalin Misfits,2010,Racing,0.12,0.02,0.0,0.01,0.14,AdrMis10Rac
Adventure,0,Adventure,1.21,0.08,0.0,0.01,1.3,Adv0Adv
Advance Guardian Heroes,2004,Role-Playing,0.03,0.01,0.0,0.0,0.04,AdvGuaHer04Rol
Adventure Island,1986,Platform,0.0,0.0,1.05,0.0,1.05,AdvIsl86Pla
Advent Rising,2005,Action,0.1,0.03,0.0,0.0,0.13,AdvRis05Act
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,0.02,0.01,0.0,0.0,0.03,AdvTimExptheDunBecIDonKno13Act
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,0.1,0.03,0.0,0.01,0.14,AdvTimExptheDunBecIDonKno13Act
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,0.03,0.04,0.0,0.01,0.08,AdvTimExptheDunBecIDonKno13Act
Adventure Time: Explore the Dungeon Because I Don't Know!,2013,Action,0.02,0.02,0.0,0.01,0.05,AdvTimExptheDunBecIDonKno13Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.02,0.06,0.0,0.01,0.09,AdvTimFin&JakInv15Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.03,0.04,0.0,0.01,0.09,AdvTimFin&JakInv15Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.02,0.02,0.0,0.0,0.05,AdvTimFin&JakInv15Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.03,0.02,0.0,0.0,0.05,AdvTimFin&JakInv15Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.02,0.05,0.0,0.01,0.07,AdvTimFin&JakInv15Act
Adventure Time: Finn & Jake Investigations,2015,Action,0.02,0.07,0.0,0.02,0.1,AdvTimFin&JakInv15Act
Adventure Time: The Secret of the Nameless,2014,Adventure,0.01,0.0,0.0,0.0,0.01,AdvTimTheSecoftheNam14Adv
Adventure Time: The Secret of the Nameless,2014,Adventure,0.01,0.0,0.0,0.0,0.02,AdvTimTheSecoftheNam14Adv
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,0.0,0.08,0.0,0.01,0.09,AdvTimTheSecoftheNamKin14Act
Adventure Time: The Secret of the Nameless Kingdom,2014,Action,0.0,0.07,0.0,0.0,0.08,AdvTimTheSecoftheNamKin14Act
Advance Wars,2001,Strategy,0.5,0.19,0.0,0.01,0.7,AdvWar01Str
Advance Wars 2: Black Hole Rising,2003,Strategy,0.47,0.17,0.0,0.01,0.65,AdvWar2:BlaHolRis03Str
Advance Wars: Days of Ruin,0,Strategy,0.44,0.13,0.0,0.06,0.63,AdvWarDayofRui0Str
Advance Wars: Dual Strike,2005,Strategy,0.3,0.03,0.04,0.03,0.4,AdvWarDuaStr05Str
Adventures of Lolo,1989,Puzzle,0.06,0.0,0.0,0.0,0.06,AdvofLol89Puz
Adventures of Tron,1981,Action,0.63,0.03,0.0,0.01,0.67,AdvofTro81Act
Adventures to Go!,2008,Role-Playing,0.1,0.0,0.01,0.01,0.13,AdvtoGo!08Rol
Aedis Eclipse: Generation of Chaos,2006,Role-Playing,0.02,0.0,0.0,0.0,0.02,AedEclGenofCha06Rol
Aegis of Earth: Protonovus Assault,2016,Action,0.02,0.0,0.0,0.0,0.02,AegofEarProAss16Act
Aegis of Earth: Protonovus Assault,2016,Action,0.02,0.01,0.0,0.01,0.04,AegofEarProAss16Act
Aegis of Earth: Protonovus Assault,2016,Action,0.01,0.01,0.0,0.0,0.03,AegofEarProAss16Act
Aeon Flux,2005,Action,0.02,0.02,0.0,0.01,0.04,AeoFlu05Act
Aeon Flux,2005,Action,0.01,0.0,0.0,0.0,0.01,AeoFlu05Act
AeroFighters Assault,1997,Action,0.15,0.04,0.0,0.0,0.19,AerAss97Act
Aero Elite: Combat Academy,2002,Simulation,0.04,0.03,0.0,0.01,0.07,AerEliComAca02Sim
Aero Gauge,1997,Racing,0.06,0.01,0.0,0.0,0.07,AerGau97Rac
Afrika,2008,Adventure,0.12,0.0,0.08,0.01,0.21,Afr08Adv
Afro Samurai,2009,Action,0.12,0.05,0.0,0.03,0.2,AfrSam09Act
Afro Samurai,2009,Action,0.16,0.05,0.0,0.02,0.24,AfrSam09Act
After Hours Athletes,2011,Sports,0.0,0.1,0.0,0.03,0.12,AftHouAth11Spo
Again,2009,Adventure,0.07,0.0,0.0,0.0,0.07,Aga09Adv
Agatha Christie: And Then There Were None,2008,Adventure,0.06,0.01,0.0,0.01,0.08,AgaChrAndTheTheWerNon08Adv
